b0x, b0y, b0vx, b0vy,b1x, b1y, b1vx, b1vy,b2x, b2y, b2vx, b2vy
-1.916877,4.209146,-0.130189,0.384684,3.070044,4.161710,-0.335766,0.953609,0.433918,3.741177,0.637166,-0.571280
-1.918139,4.212986,-0.126194,0.384039,3.066652,4.171242,-0.339190,0.953197,0.440284,3.735475,0.636603,-0.570208
-1.919361,4.216820,-0.122224,0.383389,3.063226,4.180770,-0.342625,0.952766,0.446645,3.729784,0.636075,-0.569112
-1.920544,4.220648,-0.118278,0.382734,3.059765,4.190293,-0.346071,0.952315,0.453000,3.724104,0.635584,-0.567992
-1.921687,4.224469,-0.114356,0.382075,3.056270,4.199811,-0.349529,0.951844,0.459352,3.718436,0.635127,-0.566847
-1.922792,4.228283,-0.110458,0.381412,3.052740,4.209325,-0.352998,0.951353,0.465699,3.712779,0.634705,-0.565677
-1.923858,4.232090,-0.106583,0.380744,3.049175,4.218833,-0.356477,0.950841,0.472042,3.707134,0.634316,-0.564483
-1.924885,4.235891,-0.102732,0.380073,3.045575,4.228336,-0.359968,0.950309,0.478381,3.701502,0.633962,-0.563265
-1.925874,4.239686,-0.098903,0.379397,3.041941,4.237834,-0.363468,0.949756,0.484718,3.695882,0.633640,-0.562021
-1.926825,4.243473,-0.095096,0.378718,3.038271,4.247326,-0.366979,0.949182,0.491051,3.690274,0.633351,-0.560753
-1.927738,4.247253,-0.091312,0.378036,3.034566,4.256812,-0.370500,0.948587,0.497382,3.684680,0.633093,-0.559461
-1.928614,4.251027,-0.087549,0.377350,3.030826,4.266291,-0.374031,0.947970,0.503711,3.679098,0.632868,-0.558143
-1.929452,4.254793,-0.083809,0.376661,3.027050,4.275764,-0.377572,0.947331,0.510038,3.673530,0.632673,-0.556800
-1.930253,4.258553,-0.080089,0.375970,3.023239,4.285231,-0.381122,0.946671,0.516363,3.667976,0.632509,-0.555433
-1.931017,4.262306,-0.076390,0.375275,3.019392,4.294691,-0.384682,0.945988,0.522686,3.662435,0.632375,-0.554040
-1.931744,4.266051,-0.072712,0.374577,3.015509,4.304144,-0.388250,0.945283,0.529009,3.656909,0.632270,-0.552623
-1.932434,4.269790,-0.069055,0.373877,3.011591,4.313590,-0.391828,0.944556,0.535331,3.651397,0.632194,-0.551180
-1.933089,4.273522,-0.065417,0.373175,3.007637,4.323028,-0.395414,0.943806,0.541653,3.645900,0.632147,-0.549712
-1.933707,4.277246,-0.061799,0.372470,3.003647,4.332458,-0.399008,0.943033,0.547974,3.640418,0.632127,-0.548219
-1.934289,4.280964,-0.058201,0.371763,2.999621,4.341880,-0.402611,0.942237,0.554295,3.634951,0.632136,-0.546700
-1.934835,4.284675,-0.054623,0.371054,2.995559,4.351295,-0.406221,0.941418,0.560617,3.629499,0.632171,-0.545157
-1.935345,4.288378,-0.051063,0.370343,2.991460,4.360700,-0.409839,0.940575,0.566939,3.624063,0.632232,-0.543587
-1.935821,4.292075,-0.047522,0.369630,2.987325,4.370097,-0.413464,0.939709,0.573263,3.618643,0.632319,-0.541992
-1.936261,4.295764,-0.043999,0.368916,2.983155,4.379485,-0.417097,0.938818,0.579587,3.613240,0.632432,-0.540372
-1.936666,4.299446,-0.040495,0.368200,2.978947,4.388864,-0.420736,0.937904,0.585913,3.607852,0.632570,-0.538726
-1.937036,4.303121,-0.037009,0.367482,2.974703,4.398234,-0.424382,0.936966,0.592240,3.602482,0.632732,-0.537055
-1.937371,4.306789,-0.033541,0.366763,2.970423,4.407594,-0.428034,0.936003,0.598569,3.597128,0.632918,-0.535357
-1.937672,4.310449,-0.030090,0.366043,2.966106,4.416944,-0.431692,0.935017,0.604900,3.591792,0.633127,-0.533634
-1.937939,4.314102,-0.026657,0.365322,2.961753,4.426284,-0.435356,0.934005,0.611234,3.586473,0.633358,-0.531886
-1.938171,4.317748,-0.023240,0.364599,2.957362,4.435614,-0.439025,0.932969,0.617570,3.581172,0.633613,-0.530111
-1.938369,4.321387,-0.019841,0.363876,2.952935,4.444933,-0.442700,0.931907,0.623909,3.575889,0.633888,-0.528311
-1.938534,4.325018,-0.016458,0.363151,2.948472,4.454241,-0.446379,0.930821,0.630251,3.570624,0.634185,-0.526484
-1.938665,4.328643,-0.013091,0.362426,2.943971,4.463538,-0.450063,0.929710,0.636596,3.565377,0.634503,-0.524632
-1.938762,4.332260,-0.009741,0.361701,2.939434,4.472824,-0.453751,0.928573,0.642944,3.560150,0.634841,-0.522754
-1.938826,4.335869,-0.006406,0.360974,2.934859,4.482098,-0.457443,0.927411,0.649296,3.554941,0.635198,-0.520849
4.296721,-3.694485,0.279139,-0.130986,-2.042537,-3.203943,-0.217741,-0.500193,-3.468312,-1.497122,-0.000608,0.079764
4.299504,-3.695794,0.278356,-0.130865,-2.044734,-3.208916,-0.219660,-0.497349,-3.468291,-1.496354,0.002082,0.076799
4.302280,-3.697101,0.277574,-0.130744,-2.046949,-3.213861,-0.221567,-0.494506,-3.468243,-1.495616,0.004759,0.073836
4.305048,-3.698408,0.276794,-0.130624,-2.049184,-3.218778,-0.223462,-0.491664,-3.468169,-1.494907,0.007423,0.070874
4.307808,-3.699713,0.276014,-0.130504,-2.051438,-3.223666,-0.225345,-0.488822,-3.468068,-1.494228,0.010074,0.067913
4.310560,-3.701017,0.275235,-0.130385,-2.053710,-3.228526,-0.227217,-0.485981,-3.467941,-1.493578,0.012713,0.064953
4.313305,-3.702319,0.274458,-0.130266,-2.056000,-3.233357,-0.229076,-0.483141,-3.467788,-1.492958,0.015339,0.061994
4.316041,-3.703621,0.273681,-0.130147,-2.058310,-3.238160,-0.230925,-0.480302,-3.467608,-1.492368,0.017953,0.059036
4.318770,-3.704921,0.272905,-0.130029,-2.060637,-3.242935,-0.232762,-0.477462,-3.467403,-1.491807,0.020555,0.056079
4.321492,-3.706220,0.272129,-0.129911,-2.062983,-3.247681,-0.234588,-0.474623,-3.467171,-1.491276,0.023145,0.053123
4.324205,-3.707518,0.271355,-0.129793,-2.065347,-3.252399,-0.236403,-0.471784,-3.466914,-1.490775,0.025724,0.050167
4.326911,-3.708815,0.270582,-0.129676,-2.067729,-3.257088,-0.238208,-0.468946,-3.466631,-1.490302,0.028291,0.047211
4.329609,-3.710111,0.269810,-0.129559,-2.070129,-3.261750,-0.240002,-0.466107,-3.466322,-1.489860,0.030846,0.044255
4.332300,-3.711405,0.269038,-0.129443,-2.072547,-3.266382,-0.241785,-0.463268,-3.465988,-1.489447,0.033391,0.041300
4.334982,-3.712698,0.268268,-0.129326,-2.074983,-3.270987,-0.243559,-0.460429,-3.465629,-1.489063,0.035924,0.038345
4.337657,-3.713990,0.267498,-0.129210,-2.077436,-3.275563,-0.245322,-0.457589,-3.465245,-1.488709,0.038447,0.035390
4.340325,-3.715281,0.266729,-0.129095,-2.079907,-3.280110,-0.247075,-0.454749,-3.464835,-1.488385,0.040958,0.032435
4.342985,-3.716571,0.265961,-0.128980,-2.082395,-3.284629,-0.248819,-0.451909,-3.464400,-1.488090,0.043459,0.029479
4.345637,-3.717860,0.265195,-0.128865,-2.084900,-3.289120,-0.250553,-0.449067,-3.463941,-1.487825,0.045950,0.026523
4.348281,-3.719147,0.264429,-0.128750,-2.087423,-3.293582,-0.252277,-0.446225,-3.463457,-1.487589,0.048430,0.023567
4.350917,-3.720433,0.263663,-0.128636,-2.089963,-3.298016,-0.253992,-0.443382,-3.462948,-1.487383,0.050900,0.020610
4.353546,-3.721719,0.262899,-0.128522,-2.092520,-3.302421,-0.255698,-0.440539,-3.462414,-1.487207,0.053360,0.017652
4.356167,-3.723003,0.262136,-0.128409,-2.095094,-3.306798,-0.257395,-0.437694,-3.461856,-1.487060,0.055810,0.014694
4.358781,-3.724286,0.261373,-0.128296,-2.097685,-3.311147,-0.259082,-0.434847,-3.461273,-1.486942,0.058250,0.011735
4.361387,-3.725568,0.260612,-0.128183,-2.100292,-3.315467,-0.260761,-0.432000,-3.460667,-1.486855,0.060681,0.008774
