b0x, b0y, b0vx, b0vy,b1x, b1y, b1vx, b1vy,b2x, b2y, b2vx, b2vy
-13.748835,-2.3968484,2.176367,0.8353378,-22.473564,31.632902,0.76728415,1.453528,-5.6693306,9.024157,-1.9944749,0.7054755
-14.31955,-2.5296621,2.2524524,0.87013316,-23.386333,32.95729,0.7785578,1.515586,-5.860995,9.444105,-2.07423,0.7383148
-14.916447,-2.6607802,2.3312285,0.90683436,-24.339512,34.343475,0.78972197,1.579921,-6.0613155,9.889223,-2.1575608,0.7710478
-15.540699,-2.790415,2.4128985,0.9455177,-25.335503,35.79488,0.8009465,1.6467401,-6.2709265,10.360559,-2.2447112,0.8036434
-16.19358,-2.9187572,2.4976788,0.98626196,-26.376844,37.315083,0.812381,1.71624,-6.490479,10.859216,-2.3359287,0.83609885
-16.876476,-3.0459893,2.5857987,1.0291497,-27.46621,38.907814,0.8241601,1.7886077,-6.720649,11.386346,-2.4314637,0.86842364
-17.59087,-3.1722836,2.677495,1.0742682,-28.606396,40.576977,0.8364086,1.8640307,-6.962144,11.943164,-2.5315785,0.90064543
-18.338213,-3.2977235,2.7729933,1.1217563,-29.800339,42.326607,0.8491645,1.9427892,-7.215686,12.53096,-2.6365445,0.9327695
-19.119667,-3.4221144,2.872472,1.1718769,-31.051125,44.160828,0.86229134,2.025401,-7.482011,13.151127,-2.7466586,0.96470517
-19.936771,-3.545299,2.976986,1.2244822,-32.36229,46.08397,0.8750875,2.1115534,-7.762345,13.804298,-2.8612516,0.9963805
-20.791285,-3.667455,3.087,1.2796496,-33.737167,48.10055,0.8877311,2.2012985,-8.057592,14.491625,-2.9806895,1.0281779
-21.685177,-3.78893,3.2025409,1.3375161,-35.17912,50.21533,0.9008231,2.2948768,-8.36848,15.214665,-3.1056929,1.060404
-22.620514,-3.9100235,3.323722,1.3981897,-36.69174,52.43327,0.91471887,2.3925397,-8.69583,15.975046,-3.236736,1.0931312
-23.599459,-4.0309954,3.4507394,1.461795,-38.278824,54.75958,0.92965126,2.4945593,-9.040554,16.774479,-3.3742278,1.1263763
-24.624271,-4.152081,3.5838456,1.5284778,-39.94436,57.199696,0.94578695,2.6012099,-9.403624,17.614754,-3.5185468,1.1601464
-25.697805,-4.2727265,3.7236867,1.5976464,-41.690933,59.757427,0.96399546,2.711556,-9.788487,18.494738,-3.6688178,1.1930958
-26.822365,-4.392912,3.8708148,1.6697958,-43.52246,62.437366,0.9841213,2.826596,-10.196513,19.415758,-3.8260608,1.2258989
-28.000275,-4.5129337,4.025426,1.7452363,-45.44342,65.2448,1.0060973,2.9469953,-10.628586,20.379658,-3.9910643,1.2591106
-29.233978,-4.633161,4.1876802,1.8241205,-47.458458,68.18537,1.0299807,3.0730896,-11.085694,21.388292,-4.1643114,1.2929813
-30.526035,-4.7539754,4.357817,1.9065914,-49.572384,71.265076,1.0558686,3.2051265,-11.568937,22.443596,-4.3462043,1.3276626
-31.879105,-4.8757644,4.5361495,1.9928037,-51.790146,74.49019,1.0838661,3.343357,-12.07951,23.547598,-4.5371513,1.3632823
-33.295967,-4.9989142,4.7230306,2.0829175,-54.116867,77.867294,1.1140895,3.4880352,-12.618658,24.702435,-4.7375627,1.3999606
-34.779522,-5.1238103,4.9188547,2.177095,-56.55785,81.403305,1.1466651,3.639433,-13.187719,25.91034,-4.9478736,1.4378091
-36.3328,-5.250845,5.1240406,2.2755127,-59.11859,85.10544,1.1817112,3.797831,-13.788076,27.173637,-5.1685376,1.4769527
-37.95898,-5.380419,5.339031,2.3783455,-61.804794,88.98127,1.2193632,3.9635363,-14.421175,28.494781,-5.400021,1.5175124
-39.66138,-5.5129848,5.56436,2.4858084,-64.62221,93.038574,1.2598505,4.1370354,-15.088459,29.876165,-5.64251,1.5596448
-41.443592,-5.6493397,5.8009596,2.5983365,-67.57581,97.28473,1.3039103,4.3197584,-15.79104,31.319405,-5.8944902,1.6036931
-43.309345,-5.790286,6.0491123,2.7163477,-70.67231,101.72867,1.3510351,4.5113506,-16.530348,32.827427,-6.157865,1.6495973
-45.262283,-5.9365,6.3091655,2.840104,-73.918365,106.37941,1.401207,4.7118144,-17.307907,34.403313,-6.4336724,1.6974298
-47.30548,-6.0892024,6.581233,2.9704387,-77.32063,111.24609,1.454215,4.9208894,-18.125147,36.050747,-6.722952,1.7468024
-49.442936,-6.248471,6.8660264,3.1071155,-80.88606,116.33833,1.510582,5.1393175,-18.983711,37.773006,-7.0259247,1.7981979
-51.678944,-6.414602,7.1642237,3.250177,-84.62201,121.66637,1.5705194,5.3676367,-19.885386,39.57348,-7.343165,1.8518726
-54.018032,-6.587971,7.4764833,3.399789,-88.53616,127.24094,1.634181,5.606352,-20.832075,41.4557,-7.6753354,1.9080106
-56.464947,-6.768991,7.8034687,3.5561757,-92.636566,133.07332,1.7017145,5.855944,-21.82578,43.42335,-8.023137,1.966796
-59.02467,-6.958117,8.145874,3.719594,-96.93164,139.17528,1.7732725,6.1169314,-22.868605,45.480267,-8.387302,2.0284035
-61.702408,-7.155826,8.504417,3.8903327,-101.43017,145.55911,1.849,6.3898544,-23.962742,47.63048,-8.768589,2.0930092
-64.50361,-7.362615,8.879836,4.0687127,-106.14136,152.23769,1.9290752,6.6752663,-25.110487,49.87821,-9.167789,2.1607811
-67.43397,-7.5790105,9.272908,4.255073,-111.0748,159.22446,2.0136623,6.9737406,-26.314234,52.22787,-9.58573,2.2319138
-70.499435,-7.8055587,9.684438,4.449758,-116.24056,166.5335,2.102933,7.2858953,-27.576479,54.684063,-10.023254,2.3065999
-73.706245,-8.04282,10.115265,4.6531463,-121.64915,174.17949,2.197094,7.612359,-28.89984,57.251637,-10.481265,2.3850224
-77.060905,-8.291394,10.566282,4.8656354,-127.31154,182.17781,2.2963247,7.9537897,-30.287046,59.935635,-10.960692,2.4673874
-80.57022,-8.551887,11.0384,5.0876393,-133.23923,190.54454,2.4008474,8.310887,-31.740944,62.74136,-11.462518,2.5538933
-84.241295,-8.8249445,11.53258,5.319588,-139.44424,199.29648,2.5108538,8.68437,-33.264507,65.67435,-11.98776,2.644767
-88.08157,-9.111232,12.049828,5.5619407,-145.93913,208.45122,2.6265755,9.074995,-34.86085,68.74039,-12.537466,2.7402318
-92.098816,-9.411445,12.591197,5.8151636,-152.73705,218.02711,2.74825,9.483553,-36.533226,71.945564,-13.112763,2.8405106
-96.30115,-9.726302,13.157772,6.079754,-159.8517,228.04341,2.8761244,9.910865,-38.285034,75.29622,-13.714821,2.9458535
-100.69707,-10.056556,13.750719,6.3562417,-167.29747,238.52016,3.0104532,10.3578,-40.11982,78.798996,-14.344832,3.0565045
-105.29544,-10.402989,14.371235,6.6451755,-175.08936,249.47841,3.1514826,10.825251,-42.041306,82.46085,-15.004096,3.1727211
-110.105545,-10.766412,15.020564,6.9471197,-183.24304,260.94012,3.2995234,11.314153,-44.053375,86.289055,-15.693909,3.2947686
-115.137085,-11.147674,15.700006,7.262672,-191.77498,272.9283,3.4548635,11.825495,-46.16007,90.29121,-16.415686,3.42295
-120.4002,-11.5476465,16.410955,7.592467,-200.70232,285.46698,3.6178045,12.360302,-48.365665,94.47529,-17.170876,3.557544
-125.90549,-11.967246,17.154829,7.9371357,-210.043,298.58127,3.7886686,12.919662,-50.674572,98.84962,-17.960983,3.6988404
-131.66402,-12.407428,17.933151,8.29738,-219.8158,312.29745,3.9677935,13.504696,-53.091457,103.42289,-18.787607,3.8471673
-137.68742,-12.869191,18.74745,8.673917,-230.04036,326.64304,4.155532,14.116592,-55.621143,108.20423,-19.652416,4.00286
-143.9878,-13.353564,19.599386,9.067475,-240.7372,341.6468,4.3522463,14.756544,-58.268707,113.20317,-20.557133,4.166255
-150.5778,-13.861632,20.490677,9.478847,-251.92775,357.3387,4.558326,15.425861,-61.03947,118.42968,-21.503572,4.337714
-157.47072,-14.394528,21.4231,9.90886,-263.6345,373.75027,4.7741823,16.125898,-63.938984,123.89419,-22.49364,4.517623
-164.68037,-14.95342,22.398527,10.358371,-275.8809,390.91437,5.000245,16.858055,-66.97305,129.60762,-23.529316,4.706336
-172.22127,-15.539506,23.41893,10.828279,-288.6915,408.86536,5.2369337,17.62378,-70.14772,135.58136,-24.612688,4.904277
-180.10854,-16.154081,24.486353,11.319496,-302.09195,427.63925,5.484727,18.42463,-73.469376,141.82735,-25.745924,5.111888
-188.35802,-16.798464,25.602924,11.833024,-316.10916,447.27362,5.7441034,19.262209,-76.94461,148.35806,-26.931269,5.329604
-196.98628,-17.474043,26.770912,12.369897,-330.77112,467.80783,6.0155725,20.138203,-80.58041,155.18658,-28.171112,5.557864
-206.01067,-18.182257,27.992628,12.931175,-346.10724,489.283,6.299672,21.054379,-84.384,162.32654,-29.467985,5.797164
-215.44926,-18.924608,29.270544,13.51797,-362.14825,511.74213,6.5969667,22.012554,-88.36301,169.79225,-30.824432,6.048007
-225.32103,-19.702684,30.607199,14.131466,-378.92624,535.2303,6.908021,23.014648,-92.52536,177.59857,-32.243195,6.3109007
