b0x, b0y, b0vx, b0vy,b1x, b1y, b1vx, b1vy,b2x, b2y, b2vx, b2vy
0.256602,-2.591916,-0.095127,-0.616159,4.687575,2.318444,-0.036991,-0.043350,0.063355,-3.635042,0.132665,0.662070
0.255630,-2.598204,-0.097220,-0.628756,4.687200,2.318004,-0.037509,-0.043962,0.064708,-3.628288,0.135298,0.675392
0.254636,-2.604620,-0.099358,-0.641590,4.686820,2.317558,-0.038026,-0.044575,0.066088,-3.621399,0.137979,0.688957
0.253621,-2.611166,-0.101543,-0.654672,4.686434,2.317106,-0.038543,-0.045187,0.067495,-3.614371,0.140708,0.702776
0.252583,-2.617846,-0.103779,-0.668014,4.686044,2.316648,-0.039060,-0.045799,0.068930,-3.607202,0.143488,0.716859
0.251522,-2.624663,-0.106067,-0.681626,4.685648,2.316184,-0.039577,-0.046412,0.070393,-3.599890,0.146322,0.731220
0.250438,-2.631618,-0.108410,-0.695522,4.685247,2.315714,-0.040094,-0.047025,0.071885,-3.592431,0.149211,0.745870
0.249330,-2.638715,-0.110809,-0.709714,4.684841,2.315238,-0.040611,-0.047638,0.073407,-3.584823,0.152159,0.760822
0.248197,-2.645957,-0.113269,-0.724216,4.684429,2.314755,-0.041127,-0.048250,0.074958,-3.577062,0.155168,0.776092
0.247039,-2.653348,-0.115791,-0.739043,4.684013,2.314266,-0.041644,-0.048863,0.076541,-3.569145,0.158241,0.791693
0.245856,-2.660890,-0.118379,-0.754208,4.683591,2.313772,-0.042160,-0.049476,0.078155,-3.561069,0.161382,0.807641
0.244645,-2.668587,-0.121035,-0.769730,4.683165,2.313271,-0.042677,-0.050090,0.079801,-3.552829,0.164592,0.823954
0.243408,-2.676443,-0.123764,-0.785624,4.682733,2.312764,-0.043193,-0.050703,0.081479,-3.544423,0.167877,0.840647
0.242142,-2.684462,-0.126568,-0.801908,4.682295,2.312251,-0.043709,-0.051316,0.083192,-3.535846,0.171239,0.857739
0.240847,-2.692648,-0.129452,-0.818600,4.681853,2.311731,-0.044224,-0.051929,0.084939,-3.527093,0.174682,0.875250
0.239523,-2.701006,-0.132419,-0.835722,4.681406,2.311206,-0.044740,-0.052543,0.086721,-3.518161,0.178210,0.893199
0.238168,-2.709539,-0.135473,-0.853292,4.680954,2.310674,-0.045256,-0.053157,0.088539,-3.509045,0.181828,0.911608
0.236782,-2.718252,-0.138619,-0.871333,4.680496,2.310137,-0.045771,-0.053770,0.090394,-3.499740,0.185540,0.930499
0.235364,-2.727151,-0.141861,-0.889867,4.680033,2.309593,-0.046287,-0.054384,0.092288,-3.490241,0.189351,0.949893
0.233912,-2.736240,-0.145203,-0.908918,4.679564,2.309043,-0.046802,-0.054998,0.094221,-3.480543,0.193265,0.969816
0.232425,-2.745525,-0.148652,-0.928508,4.679091,2.308486,-0.047317,-0.055612,0.096193,-3.470640,0.197287,0.990291
0.230903,-2.755012,-0.152211,-0.948664,4.678613,2.307924,-0.047832,-0.056226,0.098208,-3.460526,0.201423,1.011343
0.229344,-2.764706,-0.155887,-0.969409,4.678130,2.307356,-0.048347,-0.056841,0.100264,-3.450197,0.205677,1.032997
0.227747,-2.774613,-0.159683,-0.990770,4.677641,2.306781,-0.048862,-0.057455,0.102365,-3.439644,0.210056,1.055278
0.226111,-2.784741,-0.163606,-1.012770,4.677147,2.306201,-0.049377,-0.058069,0.104511,-3.428862,0.214564,1.078211
0.224435,-2.795095,-0.167661,-1.035433,4.676648,2.305614,-0.049892,-0.058684,0.106703,-3.417843,0.219207,1.101819
0.222716,-2.805683,-0.171852,-1.058783,4.676144,2.305021,-0.050406,-0.059299,0.108943,-3.406582,0.223989,1.126122
0.220954,-2.816512,-0.176185,-1.082837,4.675635,2.304422,-0.050921,-0.059914,0.111232,-3.395071,0.228915,1.151138
0.219148,-2.827588,-0.180662,-1.107612,4.675120,2.303816,-0.051435,-0.060529,0.113572,-3.383302,0.233988,1.176881
0.217295,-2.838919,-0.185287,-1.133116,4.674601,2.303205,-0.051949,-0.061144,0.115964,-3.371269,0.239210,1.203356
0.215394,-2.850513,-0.190063,-1.159353,4.674077,2.302587,-0.052464,-0.061759,0.118410,-3.358963,0.244583,1.230559
0.213444,-2.862376,-0.194987,-1.186312,4.673547,2.301964,-0.052978,-0.062374,0.120911,-3.346378,0.250106,1.258475
